artist_id,index,get_related_time,get_music_time,albums,genres
2BVYdY4PyfCF9z4NrkhEB2,15,,2018-03-12 21:20:40.122146,0,"['brill building pop', 'chicago soul', 'classic funk rock', 'funk', 'jazz blues', 'memphis soul', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'soul blues', 'southern soul']"
3rRmDmzPcAFwcUDvG5gBqO,16,,2018-03-12 21:20:40.122146,0,"['brill building pop', 'chicago soul', 'jazz blues', 'jazz christmas', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
6hnWRPzGGKiapVX1UCdEAC,17,,2018-03-12 21:20:40.122146,0,"['adult standards', 'brill building pop', 'chicago soul', 'christmas', 'folk rock', 'funk', 'jazz blues', 'memphis soul', 'rock-and-roll', 'singer-songwriter', 'soul', 'soul blues', 'soul christmas', 'southern soul', 'vocal jazz']"
7xGGqA85UIWX1GoTVM4itC,18,,2018-03-12 21:20:40.122146,0,"['brill building pop', 'chicago soul', 'classic funk rock', 'funk', 'jazz blues', 'jazz christmas', 'memphis blues', 'memphis soul', 'motown', 'new orleans blues', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
7lffJlv0nRl0sIsHDmo0SB,19,,2018-03-12 21:20:40.122146,0,"['chicago soul', 'funk', 'jazz blues', 'jazz christmas', 'memphis soul', 'motown', 'northern soul', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
4VnomLtKTm9Ahe1tZfmZju,20,,2018-03-12 21:20:40.122146,0,"['adult standards', 'brill building pop', 'chicago soul', 'christmas', 'disco', 'funk', 'jazz blues', 'jazz christmas', 'lounge', 'memphis soul', 'motown', 'northern soul', 'quiet storm', 'rock-and-roll', 'rockabilly', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
6Bfy6QzadCXS92y0T8dDZF,21,,2018-03-12 21:20:40.122146,0,"['chicago soul', 'funk', 'jazz blues', 'memphis soul', 'motown', 'northern soul', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
2vDV0T8sxx2ENnKXds75e5,22,,2018-03-12 21:20:40.122146,0,"['blues', 'chicago soul', 'classic funk rock', 'classic rock', 'deep funk', 'funk', 'jazz blues', 'memphis blues', 'memphis soul', 'new orleans blues', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
3plJVWt88EqjvtuB4ZDRV3,23,,2018-03-12 21:20:40.122146,0,"['adult standards', 'brill building pop', 'chicago soul', 'christmas', 'jazz blues', 'jazz christmas', 'memphis soul', 'motown', 'quiet storm', 'rock-and-roll', 'rockabilly', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
6mQfAAqZGBzIfrmlZCeaYT,24,,2018-03-12 21:20:40.122146,0,"['classic funk rock', 'dance pop', 'disco', 'funk', 'motown', 'neo soul', 'post-disco', 'quiet storm', 'r&b', 'soul', 'soul christmas', 'urban contemporary']"
2JSjCHK79gdaiPWdKiNUNp,25,,2018-03-12 21:20:40.122146,0,"['adult standards', 'brill building pop', 'christmas', 'disco', 'jazz blues', 'lounge', 'mellow gold', 'motown', 'new wave pop', 'quiet storm', 'soft rock', 'soul', 'soul blues', 'soul christmas', 'vocal jazz']"
0ty0xha1dbprYIUAQufkFn,26,,2018-03-12 21:20:40.122146,0,"['classic funk rock', 'dance pop', 'disco', 'funk', 'hip pop', 'motown', 'neo soul', 'new jack swing', 'pop', 'post-disco', 'quiet storm', 'r&b', 'soul', 'soul christmas', 'urban contemporary']"
64CuUOOirKmdAYLQSfaOyr,27,,2018-03-12 21:20:40.122146,0,"['chicago soul', 'disco', 'funk', 'jazz funk', 'memphis soul', 'motown', 'post-disco', 'quiet storm', 'soul', 'soul blues', 'southern soul', 'urban contemporary']"
1twC2fwPG5FkvYcMpVBQRz,28,,2018-03-12 21:20:40.122146,0,"['disco', 'jazz christmas', 'new wave pop', 'quiet storm', 'smooth jazz', 'soul', 'soul christmas', 'vocal jazz']"
49iKbKGqgn8OESkW5WduX0,29,,2018-03-12 21:20:40.122146,0,"['adult standards', 'new jack swing', 'quiet storm', 'r&b', 'soft rock', 'soul christmas', 'urban contemporary']"
5tTsrGPwQRWUsHR2Xf7Ke9,30,,2018-03-12 21:20:40.122146,0,"['adult standards', 'christmas', 'disco', 'jazz blues', 'jazz christmas', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'soul christmas', 'vocal jazz']"
2O0Hw1WSMbskB5tD9aWah3,31,,2018-03-12 21:20:40.122146,0,"['adult standards', 'chicago soul', 'classic funk rock', 'disco', 'funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'soul christmas', 'southern soul']"
6TKOZZDd5uV5KnyC5G4MUt,32,,2018-03-12 21:20:40.122146,0,"['brill building pop', 'chicago soul', 'classic funk rock', 'disco', 'funk', 'jazz blues', 'memphis soul', 'motown', 'northern soul', 'quiet storm', 'rock-and-roll', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
0MponVSpW81oLvJZ53vYZH,33,,2018-03-12 21:20:40.122146,0,"['brill building pop', 'chicago soul', 'jazz blues', 'memphis soul', 'motown', 'northern soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
7fIvjotigTGWqjIz6EP1i4,34,,2018-03-12 21:20:40.122146,0,"['adult standards', 'brill building pop', 'chicago soul', 'christmas', 'classic funk rock', 'disco', 'folk rock', 'funk', 'jazz blues', 'mellow gold', 'memphis soul', 'motown', 'northern soul', 'quiet storm', 'rock-and-roll', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
1cjZk1xXn3YCToNg3uJpA7,35,,2018-03-12 21:20:40.122146,0,"['brill building pop', 'chicago soul', 'classic funk rock', 'funk', 'memphis soul', 'motown', 'northern soul', 'quiet storm', 'soul', 'southern soul']"
5dM7jA0PXh0Ozz8LT2YOCB,36,,2018-03-12 21:20:40.122146,0,"['chicago soul', 'classic funk rock', 'deep funk', 'funk', 'jazz blues', 'memphis soul', 'motown', 'soul', 'soul blues', 'southern soul']"
53QzNeFpzAaXYnrDBbDrIp,37,,2018-03-12 21:20:40.122146,0,"['chicago soul', 'classic funk rock', 'disco', 'funk', 'jazz blues', 'memphis soul', 'motown', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
3koiLjNrgRTNbOwViDipeA,38,,2018-03-12 21:20:40.122146,0,"['classic funk rock', 'disco', 'funk', 'jazz blues', 'motown', 'quiet storm', 'soul', 'soul christmas']"
0iOVhN3tnSvgDbcg25JoJb,39,,2018-03-12 21:20:40.122146,0,"['adult standards', 'chicago soul', 'christmas', 'classic rock', 'electric blues', 'jazz blues', 'jazz christmas', 'memphis soul', 'singer-songwriter', 'soul', 'soul blues', 'soul christmas', 'southern soul', 'vocal jazz']"
5fbhwqYYh4YwUoEs582mq5,40,,2018-03-12 21:20:40.122146,0,"['chicago soul', 'classic funk rock', 'disco', 'funk', 'mellow gold', 'memphis soul', 'motown', 'quiet storm', 'soft rock', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
38h03gA85YYPeDPd9ER9rT,41,,2018-03-12 21:20:40.122146,0,"['chicago soul', 'classic funk rock', 'disco', 'funk', 'memphis soul', 'motown', 'post-disco', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul', 'urban contemporary']"
5SMVzTJyKFJ7TUb46DglcH,42,,2018-03-12 21:20:40.122146,0,"['classic funk rock', 'deep funk', 'disco', 'funk', 'memphis soul', 'motown', 'p funk', 'soul']"
450o9jw6AtiQlQkHCdH6Ru,43,,2018-03-12 21:20:40.122146,0,"['classic funk rock', 'deep funk', 'funk', 'jazz funk', 'memphis soul', 'p funk', 'psychedelic rock', 'soul']"
6m30rs1IQqnWqV5nKMpU7U,44,,2018-03-12 21:20:40.122146,0,"['chicago soul', 'classic funk rock', 'deep funk', 'disco', 'funk', 'jazz funk', 'memphis soul', 'motown', 'post-disco', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
2JRvXPGWiINrnJljNJhG5s,45,,2018-03-12 21:20:40.122146,0,"['afrobeat', 'classic funk rock', 'deep funk', 'funk', 'jazz blues', 'jazz funk', 'memphis blues', 'memphis soul', 'modern blues', 'new orleans blues', 'soul', 'soul blues', 'soul jazz', 'southern soul']"
3ICyfoySNDZqtBVmaBT84I,46,,2018-03-12 21:20:40.122146,0,"['chicago soul', 'classic funk rock', 'disco', 'funk', 'memphis soul', 'motown', 'quiet storm', 'soul']"
